player_hp,honor_score,win_streak,action_taken,reward
51,76,7,2,10.0
92,20,5,1,-12.04
14,21,8,2,-8.2
71,33,10,1,-5.32
60,9,10,0,10.0
20,64,9,1,15.0
82,64,10,2,1.1600001
86,87,8,0,-5.12
74,66,0,1,-6.2799997
74,94,5,2,3.72
87,42,10,1,-10.440001
99,40,10,1,-15.0
23,12,2,0,10.0
2,3,4,2,-15.0
21,22,0,1,15.0
52,69,10,0,10.0
1,33,10,2,-15.0
87,40,6,0,-5.44
29,17,5,1,15.0
37,99,9,0,10.0
1,89,4,1,-5.0
63,96,1,2,10.0
59,32,7,2,10.0
20,24,4,2,5.0
32,51,1,2,10.0
75,16,3,2,3.4
57,50,9,0,10.0
21,2,7,2,5.0
88,54,7,0,-5.76
48,85,2,2,10.0
90,55,9,0,-6.4
58,34,7,1,10.0
41,67,9,1,10.0
91,58,8,2,-1.7199998
59,91,1,1,10.0
79,58,5,2,2.12
14,12,10,0,-3.2
61,61,2,1,10.0
61,93,4,0,10.0
46,46,3,1,10.0
61,75,7,1,10.0
50,2,6,2,10.0
54,20,6,1,10.0
63,64,10,2,10.0
2,17,0,0,-10.0
100,12,5,0,-10.0
50,70,1,2,10.0
6,76,7,0,-7.4666667
20,80,5,2,5.0
72,95,8,1,-5.64
38,92,9,0,10.0
17,44,0,2,-6.6
3,61,7,2,-15.0
88,29,1,1,-10.76
59,74,6,0,10.0
13,13,10,1,1.2666667
8,52,2,0,-6.4
89,9,6,0,-6.08
52,71,0,1,10.0
1,30,9,2,-15.0
83,5,8,1,-9.16
91,82,5,1,-11.719999
59,18,6,2,10.0
70,11,8,0,10.0
43,63,9,0,10.0
7,81,0,1,-1.9333334
46,54,7,1,10.0
34,66,10,2,10.0
77,8,6,1,-7.24
80,5,1,1,-8.2
35,0,0,0,10.0
49,41,9,1,10.0
3,92,0,0,-10.0
1,54,10,1,-5.0
5,48,3,2,-15.0
53,98,4,1,10.0
3,98,6,1,-5.0
53,29,7,2,10.0
92,34,1,2,-2.04
62,62,8,2,10.0
17,21,10,2,-6.6
89,42,6,2,-1.0799999
43,27,5,1,10.0
33,17,10,2,10.0
73,31,7,1,-5.96
61,68,1,1,10.0
99,53,0,2,-5.0
13,33,4,0,-3.7333333
94,30,8,1,-12.68
47,96,6,0,10.0
14,3,6,2,-8.2
71,13,8,2,4.68
77,14,4,2,2.76
86,59,4,1,-10.12
61,19,6,0,10.0
39,19,10,1,10.0
84,48,5,2,0.52
79,98,9,0,-2.88
81,67,5,0,-3.52
52,17,7,2,10.0
23,23,3,2,5.0
25,26,1,2,5.0
88,32,2,1,-10.76
59,63,9,0,10.0
40,24,3,0,10.0
28,68,4,0,10.0
14,17,1,1,1.8
44,44,7,1,10.0
64,19,4,1,10.0
88,34,6,1,-10.76
70,5,8,1,10.0
8,90,6,0,-6.4
87,91,3,1,-10.440001
0,74,2,2,-15.0
7,8,7,2,-11.933333
87,51,8,2,-0.44000006
62,27,4,0,10.0
10,18,5,2,-10.333334
80,84,9,0,-3.2
7,62,9,2,-11.933333
34,94,5,1,10.0
34,6,2,2,10.0
32,36,3,2,10.0
4,88,10,0,-10.0
40,91,8,0,10.0
27,35,5,1,15.0
6,16,4,2,-12.466667
72,89,8,2,4.36
71,91,7,2,4.68
11,36,8,1,0.19999981
33,80,10,1,10.0
32,59,8,1,10.0
47,48,3,0,10.0
22,80,7,0,10.0
61,96,9,1,10.0
87,55,8,0,-5.44
36,33,10,0,10.0
98,86,4,1,-15.0
43,29,3,0,10.0
85,26,9,0,-4.8
90,50,0,1,-11.4
34,8,2,1,10.0
64,19,9,1,10.0
98,86,1,2,-5.0
100,46,6,1,-15.0
46,18,3,2,10.0
77,100,8,0,-2.24
2,67,8,2,-15.0
0,76,1,1,-5.0
4,11,2,0,-10.0
89,72,7,1,-11.08
13,78,9,0,-3.7333333
26,84,2,0,10.0
8,78,3,0,-6.4
78,4,10,2,2.44
14,68,2,1,1.8
89,24,1,2,-1.0799999
41,87,0,1,10.0
76,100,2,0,-1.92
50,30,8,2,10.0
62,45,7,2,10.0
95,33,8,2,-5.0
51,40,9,0,10.0
95,77,4,0,-10.0
3,90,4,1,-5.0
93,67,7,1,-12.360001
100,86,4,1,-15.0
22,37,3,0,10.0
14,45,8,0,-3.2
42,68,0,2,10.0
28,26,5,0,10.0
35,42,6,2,10.0
12,77,5,2,-9.266666
31,70,9,2,10.0
70,44,7,0,10.0
58,17,10,1,10.0
85,31,7,2,0.19999981
27,1,4,0,10.0
65,40,3,1,10.0
41,19,10,0,10.0
44,92,6,0,10.0
61,57,8,1,10.0
56,89,1,2,10.0
5,37,6,2,-15.0
27,0,5,2,5.0
27,68,2,1,15.0
43,53,1,1,10.0
83,13,0,0,-4.16
29,24,1,1,15.0
61,8,4,1,10.0
74,93,0,1,-6.2799997
91,82,7,2,-1.7199998
88,60,3,0,-5.76
61,51,2,0,10.0
96,7,9,1,-15.0
0,15,1,0,-10.0
26,7,0,0,10.0
61,22,7,0,10.0
76,72,8,0,-1.92
2,95,2,0,-10.0
69,100,2,2,10.0
71,33,8,0,-0.32
26,17,6,1,15.0
8,43,8,2,-11.4
61,14,1,0,10.0
36,14,6,1,10.0
96,92,7,2,-5.0
50,22,10,2,10.0
43,86,3,2,10.0
23,64,9,0,10.0
78,85,10,1,-7.56
58,70,3,0,10.0
31,31,1,0,10.0
95,91,1,1,-15.0
87,31,3,0,-5.44
51,32,3,0,10.0
61,42,4,1,10.0
57,12,9,2,10.0
51,91,9,2,10.0
11,8,9,2,-9.8
38,61,8,0,10.0
1,56,10,0,-10.0
2,47,8,1,-5.0
100,42,6,0,-10.0
55,66,5,1,10.0
80,80,9,2,1.8
58,97,4,1,10.0
1,31,3,2,-15.0
1,72,1,2,-15.0
91,59,3,0,-6.72
53,0,10,0,10.0
86,56,6,2,-0.119999886
100,83,0,2,-5.0
95,68,2,1,-15.0
96,84,3,1,-15.0
0,68,6,0,-10.0
18,67,2,2,-6.0666666
1,60,3,0,-10.0
52,7,0,1,10.0
43,88,0,0,10.0
89,6,9,2,-1.0799999
31,36,2,2,10.0
69,41,6,2,10.0
31,31,10,2,10.0
67,16,5,2,10.0
54,27,4,1,10.0
74,69,7,0,-1.28
55,47,10,0,10.0
16,53,7,0,-2.1333334
37,41,3,1,10.0
23,35,9,1,15.0
68,65,5,0,10.0
97,30,0,0,-10.0
69,64,9,1,10.0
85,2,9,0,-4.8
10,12,8,0,-5.3333335
15,30,4,2,-7.666667
96,28,7,1,-15.0
72,56,9,0,-0.64
58,32,9,1,10.0
69,52,0,0,10.0
79,9,3,0,-2.88
92,62,1,2,-2.04
2,72,1,1,-5.0
19,64,1,2,-5.5333333
58,100,1,2,10.0
35,95,7,0,10.0
18,96,5,1,3.9333334
89,1,8,0,-6.08
66,1,1,1,10.0
18,68,0,2,-6.0666666
19,73,7,2,-5.5333333
95,36,9,1,-15.0
70,1,2,1,10.0
51,60,2,0,10.0
32,39,7,2,10.0
39,62,4,2,10.0
38,24,7,1,10.0
81,37,1,1,-8.52
0,36,9,2,-15.0
10,81,8,0,-5.3333335
91,26,1,0,-6.72
56,83,8,0,10.0
88,49,9,1,-10.76
49,33,5,1,10.0
22,43,4,2,5.0
30,71,6,2,10.0
93,3,6,1,-12.360001
41,93,3,0,10.0
98,51,6,2,-5.0
6,54,2,1,-2.4666667
15,99,2,0,-2.6666667
89,72,6,1,-11.08
59,11,0,1,10.0
1,13,7,0,-10.0
0,34,10,2,-15.0
47,5,1,0,10.0
11,46,0,1,0.19999981
68,22,5,0,10.0
36,67,3,0,10.0
31,64,6,1,10.0
8,58,2,2,-11.4
98,8,10,1,-15.0
18,57,1,1,3.9333334
47,47,10,0,10.0
79,62,3,1,-7.88
2,8,3,0,-10.0
19,43,10,0,-0.53333336
23,45,3,1,15.0
53,14,2,2,10.0
32,87,6,2,10.0
23,52,4,0,10.0
74,47,10,0,-1.28
71,71,3,0,-0.32
35,91,4,2,10.0
37,41,6,1,10.0
83,16,3,1,-9.16
98,34,9,2,-5.0
88,30,4,2,-0.7600002
98,3,5,1,-15.0
24,47,5,0,10.0
92,13,6,2,-2.04
17,24,9,1,3.4
81,45,2,2,1.48
65,47,7,1,10.0
53,39,4,0,10.0
34,49,0,0,10.0
79,6,3,2,2.12
60,94,10,2,10.0
40,59,3,2,10.0
99,34,7,0,-10.0
32,62,9,2,10.0
67,19,8,2,10.0
32,15,2,1,10.0
13,21,10,1,1.2666667
20,35,9,0,10.0
47,18,0,0,10.0
19,1,10,1,4.4666667
7,67,10,0,-6.9333334
6,97,7,2,-12.466667
66,6,8,2,10.0
16,46,3,0,-2.1333334
32,48,4,2,10.0
47,77,3,1,10.0
75,42,3,2,3.4
58,31,10,1,10.0
85,16,2,1,-9.8
21,100,9,0,10.0
29,13,3,1,15.0
37,80,8,2,10.0
50,31,6,1,10.0
53,59,5,1,10.0
7,59,8,2,-11.933333
26,51,10,1,15.0
26,65,1,1,15.0
97,3,3,2,-5.0
20,93,8,0,10.0
29,93,7,0,10.0
96,62,0,2,-5.0
27,32,8,2,5.0
63,0,9,0,10.0
96,96,1,2,-5.0
