text,label
He fought with true valor and never struck a fallen foe.,1
"A fair and noble knight, respected by all in the arena.",1
She bowed to her opponent before the duel even began.,1
He offered water to his wounded rival after the match.,1
The champion refused to finish a defenseless opponent.,1
She trained every dawn to earn her victories honestly.,1
He returned stolen gold to the merchant without hesitation.,1
The gladiator shielded a child from a rogue arrow mid-battle.,1
She carried her fallen enemy off the field with dignity.,1
He challenged only those who could truly fight back.,1
The warrior dropped his weapon when his foe was disarmed.,1
She never used magic in a contest of pure steel.,1
He confessed to his lord when he made a grave error in judgment.,1
The knight gave his rations to starving villagers on the march.,1
She stood alone against three bandits to protect a traveler.,1
He threw down his shield so the duel would be equal.,1
She refused a bribe to throw the championship bout.,1
He warned his enemy of the trap before the fight began.,1
The paladin healed both friend and foe after the siege.,1
She fought a fair rematch after her opponent slipped on wet stone.,1
He accepted defeat graciously and praised his victor openly.,1
She donated her entire prize purse to the widows of fallen soldiers.,1
The swordsman practiced mercy even when the crowd demanded blood.,1
He refused to ambush the enemy camp while they slept.,1
She is known across seven cities for keeping every oath she makes.,1
He stepped between his comrade and a cowardly backstab without thought.,1
"The duelist never once struck an unarmed man, even in anger.",1
She returned the enemy banner with honor after the siege was won.,1
"He carries every scar with pride, each earned in a fair contest.",1
She challenged the corrupt magistrate to open trial by combat.,1
He threw sand in my eyes like a coward before striking.,0
He used dark poison on his blade before the tournament.,0
She bribed the referee to overlook her illegal elbow strikes.,0
He stabbed his opponent in the back during the ceremonial bow.,0
The mercenary slaughtered the surrendering garrison for sport.,0
She slipped venom into the champion's drinking water before the bout.,0
He lied under sacred oath to avoid punishment for his crimes.,0
The rogue cut the saddle strap on his rival's horse before the joust.,0
She hired assassins to eliminate the competition before the finals.,0
He fled the battlefield and left his allies to die for a distraction.,0
The villain used forbidden shadow magic to blind the referee.,0
She spread false rumors to destroy a rival's reputation without proof.,0
He attacked an unarmed healer during the truce of the harvest moon.,0
The schemer poisoned the well to weaken the entire opposing camp.,0
She paid street thugs to break the champion's sword hand before dawn.,0
He sold his comrades' positions to the enemy for a pouch of coin.,0
The thug ambushed travelers on the road to loot the prize caravan.,0
She used an illegal concealed dagger strapped beneath her gauntlet.,0
He lured his enemy into a pit trap disguised as a shortcut.,0
The warlock sacrificed prisoners to gain cursed power for the duel.,0
She feigned surrender then drove a hidden spike through the guard.,0
He bribed the arena master to pair him only with injured opponents.,0
The sneak struck from the shadows during a sworn ceasefire.,0
She used alchemical fumes to disorient her opponent in an enclosed ring.,0
He ordered his men to burn the village as a bargaining chip.,0
The coward tripped his rival on the steps before the championship match.,0
She colluded with the bookmaker to fix every bout in the season.,0
He stole his rival's enchanted armor the night before the grand melee.,0
The mercenary executed wounded prisoners in violation of the code.,0
She poisoned the forge master to ensure her weapons would be superior.,0
